customer_id,risk_score,risk_tier,decision,top_risk_factors,F1_list_match,F2_behaviour,F3_suspicious,F4_aml_noise,F5_identity,sanctions_flag,pep_flag,adverse_media_flag,fraud_history_flag,document_status,country_risk,structuring_flag,digital_risk_score
C5030,13.35,LOW,APPROVE,No significant risk factors identified,0,16.745,0.0,50.0,0.0,0,0,0,0,Complete,Low,0,25
C5031,21.98,LOW,APPROVE,Prior fraud history on record,0,21.130000000000003,0.0,58.0,41.0,0,0,0,1,Complete,Low,0,26
C5032,37.24,MEDIUM,MANUAL_REVIEW,KYC documents missing; Structuring pattern detected (txn/income ratio anomaly); High-risk country of origin,0,64.685,40.0,66.5,20.0,0,0,0,0,Missing,High,1,67
C5033,17.29,LOW,APPROVE,Prior fraud history on record; KYC documents incomplete (partial),0,36.21,0.0,16.5,45.0,0,0,0,1,Partial,Low,0,70
C5034,75.0,HIGH,REJECT,Sanctions watchlist hit detected; Prior fraud history on record,100,2.025,20.0,25.0,53.0,1,0,0,1,Complete,Medium,0,0
C5035,19.94,LOW,APPROVE,No significant risk factors identified,0,28.205,0.0,62.5,12.0,0,0,0,0,Complete,Low,0,51
C5036,9.27,LOW,APPROVE,KYC documents missing,0,18.835,0.0,12.5,20.0,0,0,0,0,Missing,Low,0,22
C5037,8.53,LOW,APPROVE,No significant risk factors identified,0,18.145,20.0,0.0,6.0,0,0,0,0,Complete,Medium,0,17
C5038,30.62,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; Politically Exposed Person (PEP); KYC documents incomplete (partial),70,27.365,0.0,0.0,51.0,0,1,0,1,Partial,Low,0,51
C5039,18.01,LOW,APPROVE,Structuring pattern detected (txn/income ratio anomaly); KYC documents incomplete (partial),0,37.53,20.0,25.0,10.0,0,0,0,0,Partial,Medium,1,14
C5040,23.85,LOW,APPROVE,Prior fraud history on record,0,35.515,20.0,33.0,41.0,0,0,0,1,Complete,Medium,0,57
C5041,21.2,LOW,APPROVE,Prior fraud history on record; Structuring pattern detected (txn/income ratio anomaly),0,30.25,20.0,25.0,41.0,0,0,0,1,Complete,Medium,1,26
C5042,18.18,LOW,APPROVE,Prior fraud history on record; KYC documents missing; Customer address unverified,0,7.655,30.0,0.0,71.0,0,0,0,1,Missing,Low,0,15
C5043,34.96,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; High-risk country of origin; High digital / device fraud risk score,0,49.525,40.0,50.0,47.0,0,0,0,1,Complete,High,0,85
C5044,44.45,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; Politically Exposed Person (PEP); High-risk country of origin,70,40.99,40.0,12.5,55.0,0,1,0,1,Complete,High,0,76
C5045,75.0,HIGH,REJECT,Sanctions watchlist hit detected,100,7.35,20.0,41.5,6.0,1,0,0,0,Complete,Medium,0,5
C5046,29.69,MEDIUM,MANUAL_REVIEW,KYC documents incomplete (partial); Customer address unverified,0,36.45,30.0,58.0,32.0,0,0,0,0,Partial,Low,0,63
C5047,24.8,LOW,APPROVE,Structuring pattern detected (txn/income ratio anomaly); High-risk country of origin,0,59.0,40.0,25.0,0.0,0,0,0,0,Complete,High,1,18
C5048,75.0,HIGH,REJECT,Sanctions watchlist hit detected; Prior fraud history on record; Customer address unverified,100,36.185,30.0,58.0,51.0,1,0,0,1,Complete,Low,0,70
C5049,15.08,LOW,APPROVE,High digital / device fraud risk score,0,45.91,0.0,25.0,6.0,0,0,0,0,Complete,Low,0,90
C5050,21.93,LOW,APPROVE,Structuring pattern detected (txn/income ratio anomaly),0,54.655,0.0,41.5,18.0,0,0,0,0,Complete,Low,1,65
C5051,24.07,LOW,APPROVE,High-risk country of origin; KYC documents incomplete (partial); Customer address unverified,0,22.83,70.0,12.5,20.0,0,0,0,0,Partial,High,0,28
C5052,17.49,LOW,APPROVE,No significant risk factors identified,0,28.94,20.0,25.0,18.0,0,0,0,0,Complete,Medium,0,49
C5053,24.35,LOW,APPROVE,Prior fraud history on record; KYC documents incomplete (partial),0,34.975,20.0,33.0,45.0,0,0,0,1,Partial,Medium,0,50
C5054,44.14,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; Adverse media / negative news detected; KYC documents incomplete (partial),50,5.445,45.0,66.5,55.0,0,0,1,1,Partial,Low,0,1
C5055,18.8,LOW,APPROVE,High-risk country of origin,0,28.48,40.0,16.5,12.0,0,0,0,0,Complete,High,0,50
C5056,25.91,LOW,APPROVE,Prior fraud history on record; High digital / device fraud risk score; KYC documents incomplete (partial),0,45.795,0.0,50.0,45.0,0,0,0,1,Partial,Low,0,87
C5057,16.41,LOW,APPROVE,Prior fraud history on record; High digital / device fraud risk score; KYC documents incomplete (partial),0,43.82,0.0,0.0,51.0,0,0,0,1,Partial,Low,0,74
C5058,20.16,LOW,APPROVE,Prior fraud history on record,0,28.53,0.0,41.5,41.0,0,0,0,1,Complete,Low,0,55
C5059,30.17,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; High digital / device fraud risk score,0,50.09,20.0,50.0,41.0,0,0,0,1,Complete,Medium,0,94
C5060,27.58,LOW,APPROVE,Prior fraud history on record; High-risk country of origin; High digital / device fraud risk score,0,47.175,40.0,12.5,51.0,0,0,0,1,Partial,High,0,91
C5061,27.39,LOW,APPROVE,Prior fraud history on record; High-risk country of origin; High digital / device fraud risk score,0,50.685,40.0,12.5,45.0,0,0,0,1,Partial,High,0,99
C5062,20.01,LOW,APPROVE,KYC documents incomplete (partial),0,35.03,20.0,33.0,16.0,0,0,0,0,Partial,Medium,0,70
C5063,28.56,LOW,APPROVE,Adverse media / negative news detected,50,35.8,15.0,25.0,6.0,0,0,1,0,Complete,Low,0,65
C5064,29.31,LOW,APPROVE,High digital / device fraud risk score; Customer address unverified,0,51.035,50.0,29.0,22.0,0,0,0,0,Complete,Medium,0,91
C5065,16.64,LOW,APPROVE,High digital / device fraud risk score,0,49.19,0.0,25.0,12.0,0,0,0,0,Complete,Low,0,83
C5066,41.73,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; Adverse media / negative news detected,50,4.91,15.0,100.0,35.0,0,0,1,1,Complete,Low,0,3
C5067,34.47,MEDIUM,MANUAL_REVIEW,KYC documents missing; High digital / device fraud risk score,0,62.35,20.0,75.0,20.0,0,0,0,0,Missing,Medium,0,88
C5068,9.48,LOW,APPROVE,No significant risk factors identified,0,13.415,0.0,25.0,12.0,0,0,0,0,Complete,Low,0,21
C5069,15.92,LOW,APPROVE,Prior fraud history on record,0,3.835,20.0,25.0,41.0,0,0,0,1,Complete,Medium,0,0
C5070,19.89,LOW,APPROVE,Prior fraud history on record,0,24.18,20.0,29.0,35.0,0,0,0,1,Complete,Medium,0,28
C5071,27.87,LOW,APPROVE,Prior fraud history on record; Customer address unverified,0,30.11,30.0,45.5,45.0,0,0,0,1,Complete,Low,0,31
C5072,22.92,LOW,APPROVE,Prior fraud history on record; Structuring pattern detected (txn/income ratio anomaly),0,23.35,0.0,50.0,55.0,0,0,0,1,Complete,Low,1,9
C5073,21.58,LOW,APPROVE,High digital / device fraud risk score,0,46.38,20.0,41.5,0.0,0,0,0,0,Complete,Medium,0,84
C5074,19.44,LOW,APPROVE,Prior fraud history on record,0,34.445,20.0,16.5,35.0,0,0,0,1,Complete,Medium,0,65
C5075,24.24,LOW,APPROVE,Customer address unverified,0,33.69,30.0,50.0,10.0,0,0,0,0,Complete,Low,0,54
C5076,27.6,LOW,APPROVE,Structuring pattern detected (txn/income ratio anomaly); KYC documents incomplete (partial),0,80.5,0.0,50.0,10.0,0,0,0,0,Partial,Low,1,61
C5077,34.8,MEDIUM,MANUAL_REVIEW,Politically Exposed Person (PEP),70,53.5,0.0,33.0,0.0,0,1,0,0,Complete,Low,0,7
C5078,55.78,MEDIUM,MANUAL_REVIEW,Politically Exposed Person (PEP); Structuring pattern detected (txn/income ratio anomaly); High digital / device fraud risk score,70,78.9,30.0,75.0,10.0,0,1,0,0,Complete,Low,1,93
C5079,15.27,LOW,APPROVE,High-risk country of origin,0,11.344999999999999,40.0,25.0,0.0,0,0,0,0,Complete,High,0,14
C5080,22.07,LOW,APPROVE,Prior fraud history on record; High-risk country of origin,0,10.61,40.0,29.0,41.0,0,0,0,1,Complete,High,0,17
C5081,27.64,LOW,APPROVE,Prior fraud history on record; High-risk country of origin; High digital / device fraud risk score,0,42.475,40.0,25.0,41.0,0,0,0,1,Complete,High,0,77
C5082,24.97,LOW,APPROVE,Prior fraud history on record,0,19.585,20.0,50.0,47.0,0,0,0,1,Complete,Medium,0,29
C5083,24.87,LOW,APPROVE,High-risk country of origin,0,33.864999999999995,40.0,41.5,12.0,0,0,0,0,Complete,High,0,21
C5084,10.14,LOW,APPROVE,Customer address unverified,0,13.195,30.0,0.0,10.0,0,0,0,0,Complete,Low,0,26
C5085,33.38,MEDIUM,MANUAL_REVIEW,KYC documents missing; High digital / device fraud risk score,0,67.925,0.0,75.0,32.0,0,0,0,0,Missing,Low,0,99
C5086,46.18,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; High-risk country of origin,0,40.635,40.0,100.0,67.0,0,0,0,1,Complete,High,0,68
C5087,9.39,LOW,APPROVE,KYC documents incomplete (partial),0,10.425,0.0,29.0,10.0,0,0,0,0,Partial,Low,0,14
C5088,39.83,MEDIUM,MANUAL_REVIEW,Adverse media / negative news detected; High-risk country of origin; KYC documents incomplete (partial),50,23.634999999999998,55.0,41.5,22.0,0,0,1,0,Partial,High,0,32
C5089,34.35,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; KYC documents missing; High-risk country of origin,0,8.52,70.0,25.0,91.0,0,0,0,1,Missing,High,0,1
C5090,33.74,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; High-risk country of origin; Customer address unverified,0,43.47,70.0,12.5,57.0,0,0,0,1,Complete,High,0,62
C5091,23.1,LOW,APPROVE,High-risk country of origin; High digital / device fraud risk score,0,50.480000000000004,40.0,25.0,0.0,0,0,0,0,Complete,High,0,91
C5092,35.78,MEDIUM,MANUAL_REVIEW,KYC documents missing; Adverse media / negative news detected; High digital / device fraud risk score,50,53.915,35.0,12.5,20.0,0,0,1,0,Missing,Medium,0,96
C5093,33.33,MEDIUM,MANUAL_REVIEW,Politically Exposed Person (PEP),70,41.644999999999996,0.0,33.0,6.0,0,1,0,0,Complete,Low,0,61
C5094,31.23,LOW,APPROVE,High-risk country of origin; Customer address unverified,0,16.17,70.0,58.0,16.0,0,0,0,0,Complete,High,0,24
C5095,13.57,LOW,APPROVE,KYC documents incomplete (partial),0,5.83,0.0,50.0,16.0,0,0,0,0,Partial,Low,0,7
C5096,32.94,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; KYC documents missing; High-risk country of origin,0,45.975,70.0,0.0,65.0,0,0,0,1,Missing,High,0,85
C5097,25.59,LOW,APPROVE,Prior fraud history on record; High-risk country of origin; High digital / device fraud risk score,0,52.71,40.0,0.0,47.0,0,0,0,1,Complete,High,0,98
C5098,30.94,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; Adverse media / negative news detected,50,29.97,15.0,16.5,41.0,0,0,1,1,Complete,Low,0,54
C5099,31.04,MEDIUM,MANUAL_REVIEW,Prior fraud history on record,0,4.455,20.0,100.0,41.0,0,0,0,1,Complete,Medium,0,8
C5100,34.63,MEDIUM,MANUAL_REVIEW,High-risk country of origin; High digital / device fraud risk score; KYC documents incomplete (partial),0,45.13,70.0,25.0,44.0,0,0,0,0,Partial,High,0,84
C5101,37.74,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; Politically Exposed Person (PEP),70,20.925,20.0,25.0,47.0,0,1,0,1,Complete,Medium,0,39
C5102,21.88,LOW,APPROVE,Prior fraud history on record,0,30.175,20.0,33.0,35.0,0,0,0,1,Complete,Medium,0,54
C5103,29.55,LOW,APPROVE,Prior fraud history on record; KYC documents incomplete (partial),0,30.005,0.0,75.0,57.0,0,0,0,1,Partial,Low,0,52
C5104,26.8,LOW,APPROVE,High-risk country of origin; KYC documents incomplete (partial),0,36.515,40.0,50.0,10.0,0,0,0,0,Partial,High,0,65
C5105,33.17,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; High-risk country of origin; High digital / device fraud risk score,0,53.105000000000004,70.0,0.0,57.0,0,0,0,1,Complete,High,0,98
C5106,18.0,LOW,APPROVE,No significant risk factors identified,0,11.985,20.0,58.0,0.0,0,0,0,0,Complete,Medium,0,21
C5107,31.49,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; High-risk country of origin,0,24.185,40.0,58.0,47.0,0,0,0,1,Complete,High,0,4
C5108,26.93,LOW,APPROVE,Prior fraud history on record,0,24.895,20.0,50.0,53.0,0,0,0,1,Complete,Medium,0,49
C5109,14.01,LOW,APPROVE,Prior fraud history on record,0,31.305,0.0,12.5,35.0,0,0,0,1,Complete,Low,0,49
C5110,15.55,LOW,APPROVE,High-risk country of origin,0,12.75,40.0,25.0,0.0,0,0,0,0,Complete,High,0,14
C5111,20.77,LOW,APPROVE,High digital / device fraud risk score; KYC documents incomplete (partial),0,51.37,20.0,25.0,10.0,0,0,0,0,Partial,Medium,0,97
C5112,18.4,LOW,APPROVE,High digital / device fraud risk score,0,50.519999999999996,0.0,41.5,0.0,0,0,0,0,Complete,Low,0,88
C5113,19.84,LOW,APPROVE,Prior fraud history on record; Customer address unverified,0,6.465,50.0,0.0,57.0,0,0,0,1,Complete,Medium,0,7
C5114,25.76,LOW,APPROVE,Prior fraud history on record; KYC documents incomplete (partial),0,12.53,20.0,62.5,45.0,0,0,0,1,Partial,Medium,0,21
C5115,18.74,LOW,APPROVE,Prior fraud history on record; High digital / device fraud risk score,0,46.445,0.0,16.5,41.0,0,0,0,1,Complete,Low,0,79
C5116,25.72,LOW,APPROVE,High-risk country of origin,0,42.6,40.0,41.5,6.0,0,0,0,0,Complete,High,0,56
C5117,46.17,MEDIUM,MANUAL_REVIEW,Adverse media / negative news detected; Customer address unverified,50,20.86,65.0,75.0,10.0,0,0,1,0,Complete,Medium,0,31
C5118,20.87,LOW,APPROVE,High-risk country of origin; Customer address unverified,0,1.87,70.0,25.0,10.0,0,0,0,0,Complete,High,0,2
C5119,18.74,LOW,APPROVE,High-risk country of origin; High digital / device fraud risk score; KYC documents incomplete (partial),0,41.695,40.0,0.0,16.0,0,0,0,0,Partial,High,0,76
C5120,23.28,LOW,APPROVE,High-risk country of origin,0,26.384999999999998,40.0,50.0,0.0,0,0,0,0,Complete,High,0,46
C5121,18.22,LOW,APPROVE,Customer address unverified,0,8.61,50.0,25.0,10.0,0,0,0,0,Complete,Medium,0,11
C5122,36.9,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; Structuring pattern detected (txn/income ratio anomaly); KYC documents incomplete (partial),0,38.255,30.0,75.0,55.0,0,0,0,1,Partial,Low,1,55
C5123,17.23,LOW,APPROVE,High digital / device fraud risk score,0,49.125,20.0,12.5,6.0,0,0,0,0,Complete,Medium,0,81
C5124,18.03,LOW,APPROVE,High-risk country of origin,0,33.625,40.0,16.5,0.0,0,0,0,0,Complete,High,0,49
C5125,29.28,LOW,APPROVE,Prior fraud history on record; KYC documents missing; High-risk country of origin,0,31.175,40.0,25.0,67.0,0,0,0,1,Missing,High,0,56
C5126,20.39,LOW,APPROVE,Prior fraud history on record; High digital / device fraud risk score,0,51.2,20.0,0.0,41.0,0,0,0,1,Complete,Medium,0,91
C5127,38.38,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; Structuring pattern detected (txn/income ratio anomaly); High digital / device fraud risk score,0,69.655,0.0,75.0,63.0,0,0,0,1,Partial,Low,1,81
C5128,23.17,LOW,APPROVE,Customer address unverified,0,15.865,30.0,58.0,16.0,0,0,0,0,Complete,Low,0,26
C5129,17.86,LOW,APPROVE,Prior fraud history on record,0,9.045,20.0,25.0,47.0,0,0,0,1,Complete,Medium,0,14
C5130,38.5,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; Politically Exposed Person (PEP); Structuring pattern detected (txn/income ratio anomaly),70,12.27,0.0,50.0,57.0,0,1,0,1,Partial,Low,1,4
C5131,21.3,LOW,APPROVE,Prior fraud history on record,0,30.755,20.0,25.0,41.0,0,0,0,1,Complete,Medium,0,52
C5132,15.67,LOW,APPROVE,Customer address unverified,0,11.37,30.0,25.0,16.0,0,0,0,0,Complete,Low,0,22
C5133,16.39,LOW,APPROVE,High digital / device fraud risk score,0,52.45,0.0,25.0,6.0,0,0,0,0,Complete,Low,0,95
C5134,15.47,LOW,APPROVE,No significant risk factors identified,0,22.835,0.0,50.0,6.0,0,0,0,0,Complete,Low,0,36
C5135,8.8,LOW,APPROVE,Prior fraud history on record,0,17.76,0.0,0.0,35.0,0,0,0,1,Complete,Low,0,34
C5136,12.23,LOW,APPROVE,Prior fraud history on record,0,30.38,0.0,0.0,41.0,0,0,0,1,Complete,Low,0,53
C5137,20.17,LOW,APPROVE,Prior fraud history on record; KYC documents incomplete (partial); Customer address unverified,0,12.6,30.0,12.5,61.0,0,0,0,1,Partial,Low,0,24
C5138,14.65,LOW,APPROVE,High-risk country of origin,0,33.235,40.0,0.0,0.0,0,0,0,0,Complete,High,0,51
C5139,16.0,LOW,APPROVE,High digital / device fraud risk score,0,45.995,0.0,25.0,12.0,0,0,0,0,Complete,Low,0,91
C5140,41.72,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; Politically Exposed Person (PEP); High digital / device fraud risk score,70,48.855,0.0,41.5,41.0,0,1,0,1,Complete,Low,0,96
C5141,11.38,LOW,APPROVE,KYC documents missing,0,11.9,0.0,16.5,38.0,0,0,0,0,Missing,Low,0,16
C5142,29.25,LOW,APPROVE,Prior fraud history on record; High-risk country of origin; High digital / device fraud risk score,0,53.985,40.0,12.5,53.0,0,0,0,1,Complete,High,0,98
C5143,16.28,LOW,APPROVE,High-risk country of origin,0,19.91,40.0,12.5,12.0,0,0,0,0,Complete,High,0,38
C5144,75.0,HIGH,REJECT,Sanctions watchlist hit detected; Prior fraud history on record; High digital / device fraud risk score,100,37.46,0.0,16.5,35.0,1,0,0,1,Complete,Low,0,73
C5145,19.29,LOW,APPROVE,KYC documents incomplete (partial),0,13.955,0.0,75.0,10.0,0,0,0,0,Partial,Low,0,16
C5146,8.42,LOW,APPROVE,No significant risk factors identified,0,29.605,0.0,12.5,0.0,0,0,0,0,Complete,Low,0,40
C5147,27.04,LOW,APPROVE,Prior fraud history on record,0,42.93,20.0,41.5,41.0,0,0,0,1,Complete,Medium,0,56
C5148,21.7,LOW,APPROVE,Prior fraud history on record; KYC documents incomplete (partial),0,36.26,0.0,25.0,63.0,0,0,0,1,Partial,Low,0,58
C5149,42.84,MEDIUM,MANUAL_REVIEW,Adverse media / negative news detected; Customer address unverified,50,17.695,45.0,66.5,30.0,0,0,1,0,Complete,Low,0,32
C5150,13.72,LOW,APPROVE,Customer address unverified,0,31.105,30.0,0.0,10.0,0,0,0,0,Complete,Low,0,62
C5151,40.89,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; Politically Exposed Person (PEP),70,11.68,20.0,45.5,53.0,0,1,0,1,Complete,Medium,0,12
C5152,2.89,LOW,APPROVE,No significant risk factors identified,0,14.445,0.0,0.0,0.0,0,0,0,0,Complete,Low,0,9
C5153,32.92,MEDIUM,MANUAL_REVIEW,High digital / device fraud risk score; Customer address unverified,0,47.62,30.0,75.0,16.0,0,0,0,0,Complete,Low,0,94
C5154,38.91,MEDIUM,MANUAL_REVIEW,Adverse media / negative news detected; High-risk country of origin,50,22.56,55.0,45.5,12.0,0,0,1,0,Complete,High,0,36
C5155,24.56,LOW,APPROVE,Politically Exposed Person (PEP),70,13.785,0.0,12.5,12.0,0,1,0,0,Complete,Low,0,1
C5156,16.77,LOW,APPROVE,Prior fraud history on record; High digital / device fraud risk score,0,57.585,0.0,0.0,35.0,0,0,0,1,Complete,Low,0,100
C5157,17.85,LOW,APPROVE,KYC documents incomplete (partial),0,19.265,20.0,29.0,28.0,0,0,0,0,Partial,Medium,0,33
C5158,15.41,LOW,APPROVE,Prior fraud history on record; KYC documents missing,0,3.3,20.0,12.5,55.0,0,0,0,1,Missing,Medium,0,0
C5159,24.88,LOW,APPROVE,High-risk country of origin,0,8.895,40.0,66.5,12.0,0,0,0,0,Complete,High,0,11
C5160,20.45,LOW,APPROVE,No significant risk factors identified,0,7.26,20.0,75.0,0.0,0,0,0,0,Complete,Medium,0,13
C5161,25.78,LOW,APPROVE,Prior fraud history on record; High digital / device fraud risk score; KYC documents incomplete (partial),0,45.665,20.0,25.0,51.0,0,0,0,1,Partial,Medium,0,88
C5162,18.32,LOW,APPROVE,No significant risk factors identified,0,12.120000000000001,0.0,75.0,6.0,0,0,0,0,Complete,Low,0,14
C5163,27.95,LOW,APPROVE,Prior fraud history on record; High-risk country of origin; Customer address unverified,0,2.015,70.0,25.0,57.0,0,0,0,1,Complete,High,0,0
C5164,24.89,LOW,APPROVE,High digital / device fraud risk score,0,40.945,20.0,50.0,18.0,0,0,0,0,Complete,Medium,0,77
C5165,8.09,LOW,APPROVE,KYC documents incomplete (partial),0,15.96,0.0,12.5,16.0,0,0,0,0,Partial,Low,0,30
C5166,34.84,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; High digital / device fraud risk score,0,44.95,20.0,83.0,35.0,0,0,0,1,Complete,Medium,0,88
C5167,30.31,MEDIUM,MANUAL_REVIEW,Prior fraud history on record; Adverse media / negative news detected,50,26.814999999999998,15.0,16.5,41.0,0,0,1,1,Complete,Low,0,34
C5168,27.84,LOW,APPROVE,Prior fraud history on record; High digital / device fraud risk score,0,44.435,20.0,29.0,61.0,0,0,0,1,Complete,Medium,0,85
C5169,25.45,LOW,APPROVE,Prior fraud history on record; Customer address unverified,0,38.51,30.0,25.0,45.0,0,0,0,1,Complete,Low,0,68
C5170,32.44,MEDIUM,MANUAL_REVIEW,High-risk country of origin,0,42.69,40.0,75.0,6.0,0,0,0,0,Complete,High,0,50
C5171,7.61,LOW,APPROVE,KYC documents incomplete (partial),0,9.545,0.0,16.5,16.0,0,0,0,0,Partial,Low,0,12
C5172,25.53,LOW,APPROVE,Prior fraud history on record; High digital / device fraud risk score,0,51.395,0.0,50.0,35.0,0,0,0,1,Complete,Low,0,97
C5173,19.78,LOW,APPROVE,High digital / device fraud risk score; KYC documents incomplete (partial),0,41.415,0.0,50.0,10.0,0,0,0,0,Partial,Low,0,76
C5174,10.97,LOW,APPROVE,KYC documents incomplete (partial),0,5.855,0.0,41.5,10.0,0,0,0,0,Partial,Low,0,2
C5175,25.86,LOW,APPROVE,High digital / device fraud risk score; Customer address unverified,0,42.32,50.0,25.0,16.0,0,0,0,0,Complete,Medium,0,71
C5176,19.98,LOW,APPROVE,Prior fraud history on record,0,28.665,20.0,25.0,35.0,0,0,0,1,Complete,Medium,0,37
C5177,10.82,LOW,APPROVE,High digital / device fraud risk score,0,39.1,0.0,0.0,20.0,0,0,0,0,Complete,Low,0,77
